Sample,Site,Depth,> 16.00 mm,16.00 - 8.00 mm,8.00 - 5.60 mm,5.60 - 4.00 mm,4.00 - 2.00 mm,2.00 - 1.00 mm,1.00 - 0.5 mm,0.5 - 0.25 mm,< 0.25 mm
crithmifolius 1,R. crithmifolius,0 - 5 cm ,NA,10.55,3.69,9.04,23.57,11.54,8.15,4.59,25.33
crithmifolius 2,R. crithmifolius,0 - 5 cm ,NA,14.89,11.36,14.57,51.24,33.32,23.1,12.57,40.79
crithmifolius 3,R. crithmifolius,0 - 5 cm ,26.19,23.33,8.52,6.75,20.93,27.25,15.05,6.61,21.59
crithmifolius 4,R. crithmifolius,0 - 5 cm ,111.53,23.69,8.04,11.51,22.99,18.46,12.21,7.25,36.86
crithmifolius 5,R. crithmifolius,0 - 5 cm ,17.03,45.32,23.54,16.31,41.3,36.04,20.55,13.2,38.38
crithmifolius 1,R. crithmifolius,5 - 10 cm,105.46,16.97,8.85,7.92,18.55,11.5,6.99,3.81,24.55
crithmifolius 2,R. crithmifolius,5 - 10 cm,42.05,29.75,10.96,11.82,30.35,29.15,18.93,8.81,24.63
crithmifolius 3,R. crithmifolius,5 - 10 cm,83.62,12.68,10.02,9.04,22.27,19.55,12.02,4.64,10.13
crithmifolius 4,R. crithmifolius,5 - 10 cm,40.29,41.85,10.4,10.42,22.86,22.5,13.86,7.94,29.67
crithmifolius 5,R. crithmifolius,5 - 10 cm,98.31,58.75,20.1,18.26,33.6,24.26,13.84,7.24,20.35
Hutt DL 1,R. monroi-Hutt,0 - 5 cm ,NA,9.95,5.85,6.83,21.27,14.37,13.69,13.29,16.8
Hutt DL 2,R. monroi-Hutt,0 - 5 cm ,NA,3.2,5.05,8.79,27.55,23.07,19.45,8.99,16.78
Hutt DL 3,R. monroi-Hutt,0 - 5 cm ,NA,10.09,1.93,4.3,14.93,14.98,17.83,11,25.47
Hutt DL 4,R. monroi-Hutt,0 - 5 cm ,NA,1.44,2.71,4.05,16.2,19.16,20.86,15.35,22.6
Hutt DL 5,R. monroi-Hutt,0 - 5 cm ,NA,NA,1.46,5.1,16.41,20.32,24.22,14.53,25.33
Hutt DL 1,R. monroi-Hutt,5 - 10 cm,85.67,26.71,3.63,2.01,4.04,3.35,2.2,1.84,2.63
Hutt DL 2,R. monroi-Hutt,5 - 10 cm,52.12,13.19,9.12,9.23,21.58,19.8,22.38,14.46,23.83
Hutt DL 3,R. monroi-Hutt,5 - 10 cm,11.68,16.96,3.41,4.16,11.57,10.26,8.77,4.92,10.61
Hutt DL 4,R. monroi-Hutt,5 - 10 cm,40.62,7.12,8.26,4.87,9.25,10.68,11.82,8,12.81
Hutt DL 5,R. monroi-Hutt,5 - 10 cm,18.93,14.46,4.45,7.43,11.79,8.98,11.21,7.73,15.29
Tennyson 1,R. lobulatus,0 - 5 cm ,5.54,86.39,30.52,11.48,4.72,1.57,0.95,0.55,0.54
Tennyson 2,R. lobulatus,0 - 5 cm ,122.66,8.58,3.45,0.29,1.53,5.36,5.1,2.53,1.9
Tennyson 3,R. lobulatus,0 - 5 cm ,NA,1.35,3.32,3.23,4.47,8.15,12.52,12.14,12.02
Tennyson 4,R. lobulatus,0 - 5 cm ,74.82,22.53,3.15,1.05,1.31,4.75,3.59,1.74,1.43
Tennyson 5,R. lobulatus,0 - 5 cm ,54.12,45.12,12.58,2.79,1.61,4.06,2.4,1.23,1.7
Tennyson 1,R. lobulatus,5 - 10 cm,35.93,83.93,48.81,27.53,22.66,3.1,0.97,0.71,1.34
Tennyson 2,R. lobulatus,5 - 10 cm,202.3,72.2,19.55,6.5,2.8,4.13,2.15,0.99,0.85
Tennyson 3,R. lobulatus,5 - 10 cm,189.41,36.45,12.08,4.7,6.68,5.67,5.98,7.31,12.28
Tennyson 4,R. lobulatus,5 - 10 cm,110.33,83.18,24.5,11.29,10.62,5.01,2.89,1.85,1.98
Tennyson 5,R. lobulatus,5 - 10 cm,219.62,89.78,9.23,2.67,0.96,2.04,1.38,0.6,1.06
Porters 1,R. monroi-Porters,0 - 5 cm ,NA,0.82,1.03,2.16,2.51,2.14,3.76,6.63,80.17
Porters 2,R. monroi-Porters,0 - 5 cm ,NA,NA,NA,NA,NA,0.1,1,3.72,70.44
Porters 3,R. monroi-Porters,0 - 5 cm ,NA,NA,NA,NA,NA,NA,NA,6.75,31.33
Porters 4,R. monroi-Porters,0 - 5 cm ,NA,NA,0.37,0.18,0.41,0.92,2.17,3.93,49.66
Porters 5,R. monroi-Porters,0 - 5 cm ,NA,NA,NA,NA,0.31,1,2.87,9.74,120.07
Porters 1,R. monroi-Porters,5 - 10 cm,36.12,8.24,2.49,3.17,10.41,6.05,5.29,9.89,158.07
Porters 2,R. monroi-Porters,5 - 10 cm,NA,NA,NA,NA,NA,0.54,1.47,4.04,77.71
Porters 3,R. monroi-Porters,5 - 10 cm,6.45,NA,NA,0.28,1.75,2.31,2.35,6.65,71.1
Porters 4,R. monroi-Porters,5 - 10 cm,5.75,17.6,7.05,5.74,6.92,3.54,2.79,3.07,48.27
Porters 5,R. monroi-Porters,5 - 10 cm,NA,14.03,9.26,5.27,8.12,2.62,3.94,7.43,65.9
